",appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price"
"202,7860,1,0,0,539.0,270,113,113,3.99"
"203,7940,1,0,0,8725.0,821,1417,1503,19.99"
"204,8000,1,16,0,1964.0,389,239,280,6.99"
"205,8080,1,0,0,1223.0,724,209,209,4.99"
"206,8100,1,0,0,89.0,103,0,0,3.99"
"207,8140,1,16,0,1779.0,594,313,565,6.99"
"208,8170,1,0,0,1028.0,542,132,132,6.99"
"209,8190,1,18,50,33636.0,3231,519,272,9.99"
"210,8310,1,0,0,78.0,71,0,0,0.0"
"211,8320,1,0,0,44.0,33,0,0,0.0"
"212,8330,1,0,0,69.0,77,0,0,1.99"
"213,8340,1,0,0,218.0,25,0,0,22.99"
"214,8400,1,0,0,583.0,62,109,109,2.99"
"215,8500,1,0,0,8317.0,2832,5123,230,0.0"
"216,8600,1,0,0,1684.0,348,1636,218,2.49"
"217,8790,1,0,0,174.0,16,0,0,4.99"
"218,8800,1,0,0,1396.0,66,108,108,5.99"
"219,8870,1,18,80,79442.0,3846,614,519,19.99"
"220,8880,1,0,0,197.0,150,16,16,2.99"
"221,8890,1,0,0,121.0,28,23,23,2.99"
"222,8930,1,0,286,129030.0,5565,4760,1797,19.99"
"223,8970,1,0,12,35.0,14,0,0,3.49"
"224,9000,1,0,0,200.0,36,0,0,2.49"
"225,9010,1,0,0,3084.0,276,32,48,3.99"
"226,9030,1,0,0,143.0,15,88,91,2.49"
"227,9040,1,0,0,205.0,13,129,152,2.49"
"228,9050,1,0,0,2633.0,376,362,394,0.0"
"229,9060,1,0,0,173.0,39,10,10,2.99"
"230,9160,1,0,0,310.0,69,7,12,0.0"
"231,9180,1,0,0,737.0,51,145,145,2.99"
"232,9200,1,16,60,9394.0,2882,559,392,7.99"
"233,9310,1,16,0,606.0,76,213,365,9.99"
"234,9340,1,0,0,579.0,52,79,106,9.99"
"235,9350,1,0,0,1065.0,162,306,306,8.99"
"236,9420,1,0,0,4969.0,174,803,1067,8.99"
"237,9450,1,16,0,4887.0,286,1433,1629,9.99"
"238,9460,1,0,0,378.0,229,154,154,9.99"
"239,9480,1,0,0,9442.0,2881,322,81,9.99"
"240,9500,1,0,11,160.0,94,23,23,5.99"
"241,9710,1,0,0,42.0,54,0,0,6.99"
"242,9760,1,0,0,157.0,38,0,0,1.99"
"243,9800,1,0,0,428.0,145,64,84,3.99"
"244,9850,1,0,0,82.0,56,0,0,13.99"
"245,9880,1,0,709,2081.0,823,12952,724,0.0"
"246,9900,1,0,0,7639.0,2391,2514,638,0.0"
"247,9940,1,0,20,746.0,149,222,360,1.99"
"248,9960,1,0,0,9.0,13,0,0,4.79"
"249,9970,1,0,12,5.0,24,0,0,6.99"
"250,9980,1,0,0,48.0,24,23,23,4.99"
"251,10090,1,16,0,19595.0,1483,2331,1108,19.99"
"252,10100,1,0,0,125.0,32,10,19,14.99"
"253,10110,1,0,0,143.0,42,10,10,9.99"
"254,10120,1,0,0,14.0,16,0,0,6.99"
"255,10130,1,0,0,623.0,159,0,0,9.99"
"256,10140,1,0,0,50.0,28,0,0,6.99"
"257,10150,1,0,0,3702.0,904,645,1001,14.99"
"258,10180,1,0,50,30006.0,2826,999,580,19.99"
"259,10220,1,18,38,641.0,1101,411,411,8.99"
"260,10230,1,0,0,25.0,63,0,0,5.59"
"261,10240,1,0,0,15.0,10,0,0,4.99"
"262,10250,1,0,0,12.0,12,0,0,4.99"
"263,10260,1,0,0,5.0,10,0,0,4.99"
"264,10270,1,0,0,618.0,252,889,889,9.99"
"265,10460,1,0,0,47.0,50,0,0,9.99"
"266,10500,1,0,30,14928.0,1719,3176,1385,19.99"
"267,10680,1,0,50,9448.0,1186,170,168,9.99"
"268,11020,1,0,0,8252.0,1244,902,87,0.0"
"269,11040,1,0,0,114.0,43,0,0,6.99"
"270,11050,1,0,0,94.0,45,0,0,6.99"
"271,11130,1,0,0,59.0,130,0,0,0.0"
"272,11140,1,0,0,178.0,49,0,0,6.99"
"273,11150,1,0,0,98.0,54,0,0,6.99"
"274,11190,1,0,0,300.0,94,0,0,6.99"
"275,11200,1,0,0,328.0,239,355,374,6.99"
"276,11230,1,0,0,351.0,142,46,49,1.79"
"277,11240,1,0,40,299.0,310,15,15,3.99"
"278,11250,1,0,0,20.0,9,0,0,5.59"
"279,11260,1,0,0,78.0,56,0,0,5.59"
"280,11280,1,0,10,902.0,129,91,97,4.79"
"281,11330,1,0,17,586.0,130,41,69,3.99"
"282,11340,1,0,25,523.0,161,76,108,3.99"
"283,11360,1,0,0,433.0,148,36,36,3.99"
"284,11450,1,0,0,3439.0,276,304,304,3.49"
"285,11480,1,0,0,273.0,61,0,0,3.99"
"286,11560,1,0,0,69.0,44,0,0,3.49"
"287,11590,1,0,0,175.0,301,119,176,3.49"
"288,12100,1,18,0,4718.0,750,98,63,5.99"
"289,12110,1,18,0,9817.0,819,209,93,5.99"
"290,12120,1,18,0,26877.0,3243,807,249,9.99"
"291,12130,1,18,0,816.0,433,99,101,5.99"
"292,12140,1,18,0,3926.0,435,316,316,5.99"
"293,12150,1,18,0,2506.0,172,175,175,5.99"
"294,12170,1,0,0,199.0,30,7,7,0.0"
"295,12180,1,0,0,184.0,17,3,4,0.0"
"296,12200,1,0,0,8504.0,1764,319,225,9.99"
"297,12210,1,0,0,35240.0,18926,1255,634,19.99"
"298,12220,1,18,0,6401.0,2345,508,112,14.99"
"299,12310,1,0,0,57.0,14,0,0,6.99"
"300,12320,1,0,0,1489.0,319,337,404,6.99"
"301,12330,1,0,0,256.0,59,0,0,6.99"
"302,12340,1,0,0,46.0,27,0,0,6.99"
"303,12360,1,0,0,1967.0,394,37,71,16.99"
"304,12390,1,0,0,51.0,44,0,0,10.99"
"305,12420,1,0,0,12.0,41,0,0,10.99"
"306,12430,1,0,0,31.0,69,2,2,3.99"
"307,12440,1,0,0,23.0,17,0,0,10.99"
"308,12450,1,0,0,12.0,8,0,0,10.99"
"309,12460,1,0,0,85.0,76,0,0,3.99"
"310,12470,1,0,0,174.0,95,203,203,2.99"
"311,12480,1,0,0,86.0,67,0,0,6.99"
"312,12500,1,0,0,561.0,80,52,52,6.99"
"313,12510,1,0,0,18.0,89,0,0,6.99"
"314,12520,1,0,0,245.0,111,0,0,6.99"
"315,12530,1,0,0,29.0,9,0,0,4.99"
"316,12540,1,0,0,21.0,6,0,0,5.99"
"317,12560,1,0,0,15.0,26,0,0,4.99"
"318,12590,1,0,0,25.0,24,0,0,4.99"
"319,12600,1,0,0,10.0,27,0,0,4.99"
"320,12640,1,0,0,238.0,72,0,0,6.99"
"321,12670,1,0,0,14.0,6,0,0,4.99"
"322,12710,1,0,0,946.0,75,446,256,6.99"
"323,12770,1,0,0,365.0,178,88,147,4.99"
"324,12790,1,0,0,132.0,182,0,0,6.99"
"325,12810,1,0,0,2116.0,306,197,119,6.99"
"326,12830,1,0,0,1024.0,580,413,417,6.99"
"327,13000,1,0,52,48.0,4,121,121,3.99"
"328,13140,1,0,71,1515.0,723,12,13,0.0"
"329,13200,1,0,0,240.0,100,682,682,8.99"
"330,13210,1,0,57,2414.0,278,542,239,13.99"
"331,13230,1,0,0,2211.0,66,414,496,8.99"
"332,13240,1,0,0,2134.0,65,565,924,5.99"
